observation_date,CPALTT01IDM657N
1968-02-01,10.000000088601664672
1968-03-01,3.030302920466261707
1968-04-01,-5.882352864531431358
1968-05-01,5.208333376595854602
1968-06-01,2.970296921567427972
1968-07-01,4.807692350698852479
1968-08-01,2.752293601472533879
1968-09-01,0.000000000000000000
1968-10-01,-0.892857150273574929
1968-11-01,22.522522471825190848
1968-12-01,-11.764705888101316233
1969-01-01,1.666666681433621511
1969-02-01,1.639344276581814919
1969-03-01,2.419354859454093010
1969-04-01,-4.724409488370761245
1969-05-01,0.000000000000000000
1969-06-01,-1.652892576507338784
1969-07-01,1.680672283923730470
1969-08-01,3.305785153014691780
1969-09-01,0.000000000000000000
1969-10-01,1.600000013609212290
1969-11-01,1.574803162790263444
1969-12-01,1.550387609677526424
1970-01-01,7.633587746762843018
1970-02-01,0.000000000000000000
1970-03-01,-0.709219864172436987
1970-04-01,-1.428571440776769119
1970-05-01,0.000000000000000000
1970-06-01,1.449275374880523160
1970-07-01,0.000000000000000000
1970-08-01,0.000000000000000000
1970-09-01,-2.142857161165136137
1970-10-01,0.000000000000000000
1970-11-01,3.649635068360678414
1970-12-01,0.704225358044620608
1971-01-01,2.797202820599998585
1971-02-01,2.721088367105480632
1971-03-01,0.000000000000000000
1971-04-01,-1.324503322915877801
1971-05-01,-2.684563693138274143
1971-06-01,-1.379310356205704302
1971-07-01,0.000000000000000000
1971-08-01,-0.699300705149969781
1971-09-01,-0.704225358044668792
1971-10-01,1.418439728344873973
1971-11-01,2.797202820599998585
1971-12-01,-0.680272114378833614
1972-01-01,2.054794446352991244
1972-02-01,2.013422836750929701
1972-03-01,0.000000000000000000
1972-04-01,0.000000000000000000
1972-05-01,-0.657894742594462678
1972-06-01,-1.986754896358948308
1972-07-01,-0.675675681136400419
1972-08-01,0.680272114378810411
1972-09-01,1.351351272473893639
1972-10-01,4.000000035440657520
1972-11-01,10.897435905081522378
1972-12-01,6.358381479799075642
1973-01-01,-1.630434796740564796
1973-02-01,0.552486192713386837
1973-03-01,1.098901108530530468
1973-04-01,2.717391327900965603
1973-05-01,0.000000000000000000
1973-06-01,5.291005265333367902
1973-07-01,5.025125671769214541
1973-08-01,0.000000000000000000
1973-09-01,3.349282260748366102
1973-10-01,2.777777801705706651
1973-11-01,1.801801816903113140
1973-12-01,3.539822979186158403
1974-01-01,10.256410286992695191
1974-02-01,3.488372070261866575
1974-03-01,1.498127353501068404
1974-04-01,4.059040575204821977
1974-05-01,0.000000000000000000
1974-06-01,1.063829796258685789
1974-07-01,0.350877195927633001
1974-08-01,0.000000000000000000
1974-09-01,2.097902068980580292
1974-10-01,2.739726051089762304
1974-11-01,1.999999972533496040
1974-12-01,2.287581719217352649
1975-01-01,0.958466461813576198
1975-02-01,0.949367096593258353
1975-03-01,1.880877716956772083
1975-04-01,1.846153862007804847
1975-05-01,0.906344418518313599
1975-06-01,0.000000000000000000
1975-07-01,0.898203560528730627
1975-08-01,0.890207722857079609
1975-09-01,3.823529405556448157
1975-10-01,0.849858364299760249
1975-11-01,2.808988788164021422
1975-12-01,2.185792331669936583
1976-01-01,2.139037451397843181
1976-02-01,2.094240820391804370
1976-03-01,0.000000000000000000
1976-04-01,0.512820517189438885
1976-05-01,1.785714300849856828
1976-06-01,1.754385946212552838
1976-07-01,0.985221683262081038
1976-08-01,1.707317055144663698
1976-09-01,2.398081555408167809
1976-10-01,0.000000000000000000
1976-11-01,0.234192039438802208
1976-12-01,-0.233644861771974494
1977-01-01,1.639344244946871587
1977-02-01,0.230414748519439994
1977-03-01,0.459770118875689304
1977-04-01,0.915331815574834784
1977-05-01,1.587301570559038755
1977-06-01,0.000000000000000000
1977-07-01,1.562500013442263525
1977-08-01,0.659340664925736730
1977-09-01,1.528384263319668701
1977-10-01,0.215053765284810600
1977-11-01,1.072961382570753575
1977-12-01,1.486199559735345233
1978-01-01,0.000000000000000000
1978-02-01,0.209205022723670697
1978-03-01,0.417536538038087879
1978-04-01,1.871101887128684416
1978-05-01,-0.408163268737999074
1978-06-01,-1.434426241618457443
1978-07-01,1.663201677447716298
1978-08-01,1.226993848190055525
1978-09-01,-1.212121195686375996
1978-10-01,0.817995916912318655
1978-11-01,2.231237314203648125
1978-12-01,1.190476174152200972
1979-01-01,0.196078433058716001
1979-02-01,2.348336615067118771
1979-03-01,0.000000000000000000
1979-04-01,3.059273422805084408
1979-05-01,2.968460111545988322
1979-06-01,2.522522519717999234
1979-07-01,2.460456939335289750
1979-08-01,2.229845622083658441
1979-09-01,0.838926181605411436
1979-10-01,0.831946740285066766
1979-11-01,0.660066012246289691
1979-12-01,0.819672138112332971
1980-01-01,1.138211370096453789
1980-02-01,1.446945349987330376
1980-03-01,0.316957213446854902
1980-04-01,0.947867285542981830
1980-05-01,3.755868555830204070
1980-06-01,1.508295618595612897
1980-07-01,1.188707290926070304
1980-08-01,1.174743015305702354
1980-09-01,0.290275764437520178
1980-10-01,1.736613598936263214
1980-11-01,2.133712659275474266
1980-12-01,0.278551534405197587
1981-01-01,1.388888882223243693
1981-02-01,0.684931512710103552
1981-03-01,0.680272114624839830
1981-04-01,0.945945935970997964
1981-05-01,0.133868809710834508
1981-06-01,0.401069522137069312
1981-07-01,1.198402122975710915
1981-08-01,0.526315793983523350
1981-09-01,-0.130890053471710205
1981-10-01,1.179554400631070310
1981-11-01,-0.388601039547470495
1981-12-01,0.520156051218939153
1982-01-01,4.657179806543132017
1982-02-01,0.618046976849551122
1982-03-01,0.122850123893132698
1982-04-01,0.000000000000000000
1982-05-01,0.122699387543536195
